model,complexity_label,complexity,n_train,sigma,n_repeats,fit_time_sec,bias2,bias2_raw,bias2_mc_correction,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap
Polynomial Ridge,degree,1,160,0.35,50,0.053962500009220093,0.7292124047614867,0.7293568267489623,0.00014442198747553124,0.728640807431475,0.7297840020914985,0.007221099373776563,0.005531260293566013,0.008910938453987112,0.12249999999999998,0.8589335041352633,0.8531592308507255,-0.005774273284537723
Polynomial Ridge,degree,2,160,0.35,50,0.05131112498929724,0.4362725710317119,0.43644367449947585,0.0001711034677639576,0.43585652332578184,0.436688618737642,0.00855517338819788,0.006565162054636642,0.010545184721759117,0.12249999999999998,0.5673277444199097,0.5638422237636385,-0.0034855206562712793
Polynomial Ridge,degree,3,160,0.35,50,0.0510762500052806,0.311966031377704,0.31218191623773456,0.00021588486003052483,0.31108055876246876,0.31285150399293926,0.010794243001526241,0.008920981458874797,0.012667504544177685,0.12249999999999998,0.44526027437923027,0.4391654165738441,-0.006094857805386156
Polynomial Ridge,degree,4,160,0.35,50,0.05127033402095549,0.31228323646390016,0.3125647122412853,0.00028147577738512545,0.31107995106748176,0.31348652186031856,0.014073788869256273,0.011729057107021823,0.016418520631490723,0.12249999999999998,0.4488570253331564,0.44226353695342674,-0.006593488379729673
Polynomial Ridge,degree,5,160,0.35,50,0.05132083399803378,0.0328308257841542,0.03297740178925703,0.00014657600510283242,0.032050934410874136,0.033610717157434265,0.007328800255141621,0.006001246602981055,0.008656353907302187,0.12249999999999998,0.1626596260392958,0.16001424382696497,-0.0026453822123308213
Polynomial Ridge,degree,7,160,0.35,50,0.05177791599999182,0.0007101726411120538,0.0008553739228908136,0.0001452012817787598,0.0005169153947415827,0.0009034298874825248,0.00726006408893799,0.006322683972616801,0.008197444205259178,0.12249999999999998,0.13047023673005004,0.12725839551785334,-0.0032118412121966977
Polynomial Ridge,degree,9,160,0.35,50,0.05960550002055243,0.001004009609278001,0.0011747704948694311,0.00017076088559143016,0.0006288525985260494,0.0013791666200299525,0.008538044279571508,0.007506029301154266,0.00957005925798875,0.12249999999999998,0.1320420538888495,0.1285899174601066,-0.003452136428742897
Polynomial Ridge,degree,12,160,0.35,50,0.060207792004803196,0.0005039747347810458,0.0006951144610506829,0.00019113972626963704,0.00013600225196946784,0.0008719472175926238,0.009556986313481852,0.008601947816081217,0.010512024810882486,0.12249999999999998,0.13256096104826287,0.1292324800948093,-0.003328480953453561
Decision Tree,max_depth,1,160,0.35,50,0.031020249996799976,0.3371449231923861,0.3377402902090077,0.0005953670166216037,0.3344526637237193,0.3398371826610529,0.029768350831080186,0.02517382118360447,0.0343628804785559,0.12249999999999998,0.4894132740234663,0.486596953139416,-0.0028163208840503162
Decision Tree,max_depth,2,160,0.35,50,0.031160542013822123,0.15617238751741977,0.15706207427440694,0.0008896867569871596,0.14644757903124928,0.16589719600359026,0.04448433784935798,0.03973237530886248,0.04923630038985348,0.12249999999999998,0.32315672536677775,0.3193500603933948,-0.003806664973382945
Decision Tree,max_depth,3,160,0.35,50,0.031214082991937175,0.0541371638430007,0.05530828645807313,0.0011711226150724365,0.05019821897802247,0.05807610870797893,0.05855613075362182,0.053085453544001564,0.06402680796324209,0.12249999999999998,0.23519329459662253,0.22954240137630436,-0.0056508932203181705
Decision Tree,max_depth,4,160,0.35,50,0.03165079199243337,0.008892353621920066,0.01002452453068762,0.0011321709087675545,0.00702092574929899,0.010763781494541142,0.056608545438377726,0.0517519156945826,0.06146517518217285,0.12249999999999998,0.18800089906029777,0.18506975786371113,-0.002931141196586634
Decision Tree,max_depth,5,160,0.35,50,0.03210974999819882,0.0011733143414831568,0.0023028743290247804,0.0011295599875416236,0.0002781055949511459,0.0020685230880151677,0.05647799937708118,0.05251322386640311,0.06044277488775925,0.12249999999999998,0.18015131371856433,0.17959683157110787,-0.0005544821474564587
Decision Tree,max_depth,7,160,0.35,50,0.03381566601456143,-2.6652231673627387e-05,0.0017857048707976548,0.0018123571024712822,-0.0010492889918715213,0.0009959845285242666,0.09061785512356411,0.0864657158294587,0.09476999441766953,0.12249999999999998,0.21309120289189049,0.2111442431696787,-0.0019469597222117885
Decision Tree,max_depth,10,160,0.35,50,0.034806499985279515,0.00011548759848514258,0.0025047629446600644,0.002389275346174922,-0.001150364614342241,0.0013813398113125261,0.1194637673087461,0.11500966802124606,0.12391786659624614,0.12249999999999998,0.24207925490723123,0.23974049243361403,-0.0023387624736171952
