model,complexity_label,complexity,alpha,depth,mean_prediction_mse,bootstrap_variance,mean_bootstrap_mse,identity_gap,n_bootstrap,fit_time_sec
Ridge,alpha,0.01,,,2778.4794825852073,105.61564867613504,2884.0951312613415,-7.958078640513122e-13,30,0.04584325000178069
Ridge,alpha,0.1,,,2779.5348935762863,104.51422383037438,2884.0491174066606,-1.2789769243681803e-13,30,0.04534295797930099
Ridge,alpha,1.0,,,2787.399467684829,97.5895724737938,2884.9890401586226,5.684341886080802e-14,30,0.04523575000348501
Ridge,alpha,10.0,,,2802.1603143331254,83.67253418530383,2885.832848518429,-3.836930773104541e-13,30,0.04557308301446028
Ridge,alpha,100.0,,,2836.5962562890054,51.08925723359895,2887.6855135226047,3.055333763768431e-13,30,0.045852707989979535
Decision Tree,max_depth,1.0,,,3860.089764930373,713.2223600571189,4573.312124987492,3.410605131648481e-13,30,0.0273020830063615
Decision Tree,max_depth,2.0,,,3400.6778019378485,602.3787538647376,4003.056555802586,-1.1368683772161603e-13,30,0.030160209018504247
Decision Tree,max_depth,3.0,,,3354.080128882818,838.9251445211954,4193.005273404013,-5.684341886080801e-13,30,0.03283650000230409
Decision Tree,max_depth,5.0,,,3381.0890920228517,1487.8699480829373,4868.9590401057885,-4.547473508864641e-13,30,0.03830091599957086
Decision Tree,max_depth,8.0,,,3451.7530817121196,1934.632582505711,5386.385664217831,0.0,30,0.04228879202855751
Decision Tree,max_depth,12.0,,,3475.271701956216,1962.5389647794916,5437.810666735708,2.2737367544323206e-13,30,0.04286508398945443
KNN,n_neighbors,2.0,,,4435.649209209209,1353.7605505505505,5789.40975975976,2.2737367544323206e-13,30,0.05512554201413877
KNN,n_neighbors,5.0,,,3662.172096096095,704.1026186186186,4366.274714714715,9.094947017729282e-13,30,0.05628329099272378
KNN,n_neighbors,10.0,,,3130.7600996996994,406.0576720720722,3536.8177717717717,1.7053025658242404e-13,30,0.058675042004324496
KNN,n_neighbors,20.0,,,2975.686586561562,204.06401629129132,3179.750602852853,-3.694822225952521e-13,30,0.06255074997898191
KNN,n_neighbors,35.0,,,3047.2370105860964,121.20542343976634,3168.4424340258624,-2.984279490192421e-13,30,0.06748391600558534
MLP,hidden_width,16.0,1e-05,2.0,3011.216187142877,321.65763219899094,3332.8738193418676,-3.979039320256561e-13,30,3.7864420829864684
MLP,hidden_width,64.0,1e-05,2.0,2813.407650176932,390.1566458898298,3203.564296066762,2.8421709430404007e-13,30,1.2320814169943333
MLP,hidden_width,128.0,1e-05,2.0,3501.2341283271385,675.104546113283,4176.3386744404215,0.0,30,2.850076957984129
MLP,hidden_width,16.0,0.001,2.0,3025.1830239602778,329.55669195074853,3354.7397159110274,1.0800249583553523e-12,30,3.665617583988933
MLP,hidden_width,64.0,0.001,2.0,2815.557516341515,383.2894571056629,3198.846973447178,-2.2737367544323206e-13,30,1.2484778749931138
MLP,hidden_width,128.0,0.001,2.0,3533.9502091944373,691.27490910422,4225.225118298657,1.1368683772161603e-13,30,2.9641945000039414
MLP,hidden_width,16.0,0.1,2.0,3024.6704553232557,330.34985370264366,3355.020309025899,-1.7053025658242404e-13,30,3.7881528330035508
MLP,hidden_width,64.0,0.1,2.0,2809.6236728234753,372.15940471199673,3181.783077535473,7.389644451905042e-13,30,1.2353059160232078
MLP,hidden_width,128.0,0.1,2.0,3501.1449498543984,624.7482487839068,4125.893198638305,-2.2737367544323206e-13,30,2.9282365840044804
