study,width,depth,alpha,n_repeats,fit_time_sec,bias2,bias2_raw,bias2_mc_correction,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap
width_alpha,16,1,1e-05,20,2.1373279159888625,0.04462653623752646,0.045235898068736236,0.0006093618312097742,0.0331407189328525,0.05611235354220041,0.012187236624195484,0.008811468835763997,0.01556300441262697,0.12249999999999998,0.17931377286172193,0.17626472694313644,-0.0030490459185854857
width_alpha,64,1,1e-05,20,3.0660345000214875,0.004081755607776351,0.004499493226585898,0.00041773761880954636,0.001851753667192646,0.0063117575483600565,0.008354752376190927,0.006150329470676039,0.010559175281705815,0.12249999999999998,0.13493650798396725,0.13302188827087674,-0.0019146197130905096
width_alpha,128,1,1e-05,20,4.27183108299505,0.0020556854772009825,0.002396720741701499,0.00034103526450051644,0.0008638399574290561,0.003247530996972909,0.006820705290010329,0.005600415370564451,0.008040995209456208,0.12249999999999998,0.1313763907672113,0.12952755286900008,-0.0018488378982112197
width_alpha,256,1,1e-05,20,6.767306958994595,0.0018875108196565857,0.0022232295991471158,0.00033571877949053016,0.0006160323332958402,0.0031589893060173313,0.006714375589810603,0.005513203296046527,0.007915547883574679,0.12249999999999998,0.13110188640946718,0.12900769448177424,-0.0020941919276929455
width_alpha,16,1,0.001,20,2.1370753340015654,0.04468027350013157,0.045289030818272874,0.0006087573181413081,0.033197443916146215,0.05616310308411692,0.012175146362826163,0.008803545160992493,0.015546747564659832,0.12249999999999998,0.17935541986295772,0.1763068151193046,-0.0030486047436531216
width_alpha,64,1,0.001,20,3.0575462499982677,0.004154847575784686,0.004573764847012465,0.0004189172712277788,0.0018941900997624453,0.006415505051806927,0.008378345424555575,0.006163933476628193,0.010592757372482957,0.12249999999999998,0.13503319300034025,0.13315484407444983,-0.0018783489258904218
width_alpha,128,1,0.001,20,4.265578624996124,0.0020631965959375873,0.002406999714786273,0.0003438031188486857,0.0008866963894458549,0.0032396968024293194,0.006876062376973714,0.0056593290326411505,0.008092795721306278,0.12249999999999998,0.13143925897291128,0.1295605534963688,-0.0018787054765424804
width_alpha,256,1,0.001,20,6.681319041003007,0.001979947137129306,0.0023109342960380246,0.0003309871589087188,0.0006959093081838732,0.0032639849660747386,0.006619743178174375,0.005353943306361351,0.0078855430499874,0.12249999999999998,0.13109969031530366,0.12931959310033778,-0.0017800972149658867
width_alpha,16,1,0.1,20,2.127948291017674,0.05051288460368064,0.051057646844459056,0.0005447622407784183,0.0395664577096369,0.061459311497724385,0.010895244815568366,0.008019748918273591,0.013770740712863142,0.12249999999999998,0.183908129419249,0.18094121386231268,-0.002966915556936317
width_alpha,64,1,0.1,20,3.0746547500020824,0.007646223611530774,0.008118184861982259,0.0004719612504514847,0.004005453336346039,0.011286993886715509,0.009439225009029694,0.005943794697789315,0.012934655320270074,0.12249999999999998,0.13958544862056044,0.1381518616042963,-0.0014335870162641429
width_alpha,128,1,0.1,20,4.370034999999916,0.006765310903435655,0.007164118698429387,0.00039880779499373186,0.00427785974257634,0.00925276206429497,0.007976155899874637,0.0055298625522602835,0.010422449247488991,0.12249999999999998,0.13724146680331029,0.13541502259774513,-0.0018264442055651586
width_alpha,256,1,0.1,20,6.933903625002131,0.006403579431709041,0.006761980077315726,0.00035840064560668404,0.003978466148044641,0.008828692715373442,0.007168012912133681,0.005568509271595476,0.008767516552671885,0.12249999999999998,0.1360715923438427,0.13420458100579294,-0.0018670113380497566
depth,64,2,0.001,20,3.5363436250190716,-6.752892403469888e-05,0.0004775554663734732,0.0005450843904081721,-0.0008183365781254593,0.0006832787300560616,0.010901687808163443,0.009375701364143332,0.012427674252183553,0.12249999999999998,0.13333415888412872,0.1295014488732649,-0.003832710010863827
depth,64,3,0.001,20,4.315565291995881,-0.0001224191618075934,0.0005192787190783394,0.0006416978808859328,-0.0009724341254037339,0.0007275958017885472,0.012833957617718656,0.010799258667448849,0.014868656567988463,0.12249999999999998,0.13521153845591105,0.13112466801695938,-0.004086870438951673
