dataset,model,fold,rmse,r2,fit_time_sec
Diabetes,Dummy,0,74.59604891685626,-0.0017264390558058285,0.008524179458618164
Diabetes,Dummy,1,76.56001198543451,-0.0024291015396220583,0.0003349781036376953
Diabetes,Dummy,2,75.712203004469,-0.10625086095966552,0.00028514862060546875
Diabetes,Dummy,3,78.30393649229147,-0.014879985681724772,0.00028014183044433594
Diabetes,Dummy,4,81.73078030624315,-0.03324437006919845,0.0002720355987548828
Diabetes,Dummy,5,72.29364932022892,-0.009669925371196042,0.0002779960632324219
Diabetes,Dummy,6,77.27756157561188,-0.0007474968989695796,0.00027108192443847656
Diabetes,Dummy,7,81.81991870682462,-0.011666178163947327,0.00027680397033691406
Diabetes,Dummy,8,78.00242335350455,-0.005395818506953365,0.00026798248291015625
Diabetes,Dummy,9,75.76653587903083,-0.000651471321127417,0.0002639293670654297
Diabetes,Dummy,10,79.22835737869106,-0.00026626388286699054,0.0002601146697998047
Diabetes,Dummy,11,70.47017071941131,-0.012939117826333835,0.00026702880859375
Diabetes,Dummy,12,79.419192584289,-6.484270319795371e-06,0.0002663135528564453
Diabetes,Dummy,13,76.6572378487258,-0.02997904691934039,0.00026798248291015625
Diabetes,Dummy,14,79.55030431489213,-0.006007226769224827,0.0002639293670654297
Diabetes,Ridge,0,52.71097457535711,0.4998277669734327,0.0014832019805908203
Diabetes,Ridge,1,51.43299117055741,0.54758890717314,0.0012507438659667969
Diabetes,Ridge,2,55.35739724567374,0.40861108380266364,0.0012269020080566406
Diabetes,Ridge,3,56.70176503426679,0.4678419293232463,0.001233816146850586
Diabetes,Ridge,4,57.921208256976264,0.48107214581774116,0.0012106895446777344
Diabetes,Ridge,5,50.904306748351644,0.49940307372712456,0.0012118816375732422
Diabetes,Ridge,6,54.83987328072943,0.49602316131866653,0.0012021064758300781
Diabetes,Ridge,7,57.78171659955889,0.4954548644295723,0.00119781494140625
Diabetes,Ridge,8,52.6813042502009,0.541400137030283,0.0012149810791015625
Diabetes,Ridge,9,57.93744932203349,0.4148776074168765,0.0011968612670898438
Diabetes,Ridge,10,54.09460303293315,0.5337034588721372,0.0011909008026123047
Diabetes,Ridge,11,48.952598080830164,0.5112078884569156,0.0011897087097167969
Diabetes,Ridge,12,59.65786018096081,0.4357296572186721,0.0011930465698242188
Diabetes,Ridge,13,56.741252053912795,0.43568721940596855,0.0011928081512451172
Diabetes,Ridge,14,55.13776021708337,0.5167012736530325,0.0011861324310302734
Diabetes,Decision Tree,0,68.58952579758913,0.153098139450763,0.001150369644165039
Diabetes,Decision Tree,1,64.84503224874742,0.2808771281266289,0.0010628700256347656
Diabetes,Decision Tree,2,61.59072115461173,0.2679302967002999,0.0010552406311035156
Diabetes,Decision Tree,3,65.44294090223136,0.2911193655212079,0.001055002212524414
Diabetes,Decision Tree,4,63.578893869845,0.3747442521028429,0.001051187515258789
Diabetes,Decision Tree,5,59.38028638583818,0.3188171586923273,0.0010390281677246094
Diabetes,Decision Tree,6,62.47914223803821,0.34583423819591264,0.001035928726196289
Diabetes,Decision Tree,7,69.02625461777231,0.27997469160543864,0.0010409355163574219
Diabetes,Decision Tree,8,59.71719584633813,0.4107227207365487,0.0010449886322021484
Diabetes,Decision Tree,9,63.4745715356152,0.2976921356679342,0.0010459423065185547
Diabetes,Decision Tree,10,72.39799686142476,0.1647674365056918,0.0010318756103515625
Diabetes,Decision Tree,11,61.75132775054917,0.22220473317780343,0.0010361671447753906
Diabetes,Decision Tree,12,66.12612579562806,0.3067369731314019,0.0010387897491455078
Diabetes,Decision Tree,13,59.664812098987625,0.37603732486015995,0.0010418891906738281
Diabetes,Decision Tree,14,66.47870478525596,0.2974414738323162,0.0010519027709960938
Diabetes,Random Forest,0,59.59824504483068,0.36058263075742025,0.07312607765197754
Diabetes,Random Forest,1,54.41310449841053,0.493643148738902,0.07560873031616211
Diabetes,Random Forest,2,54.576862112287095,0.425170589414985,0.07639002799987793
Diabetes,Random Forest,3,58.60031429382756,0.43160874476433075,0.08068299293518066
Diabetes,Random Forest,4,56.118003813790885,0.5128797482070881,0.08142495155334473
Diabetes,Random Forest,5,50.71480336097892,0.503123318275064,0.07924509048461914
Diabetes,Random Forest,6,59.22563859570342,0.4121896927698101,0.07979989051818848
Diabetes,Random Forest,7,64.6882231223064,0.3676324331045949,0.08671092987060547
Diabetes,Random Forest,8,56.79788170680867,0.4669288713925458,0.08255696296691895
