dataset,model,proxy_bias2,bootstrap_variance,residual_noise_proxy,test_mse,n_bootstrap
Diabetes,Dummy,2733.559505023891,18.426794773890553,3026.0549387153724,5485.22507892692,60
Diabetes,Ridge,446.7068609235546,83.88309646307997,3026.0549387153724,2799.2372081288645,60
Diabetes,Decision Tree,194.05183257369663,1153.3416671160896,3026.0549387153724,3332.069535816317,60
Diabetes,Random Forest,141.4677270101934,299.6971727655079,3026.0549387153724,3175.6835206888,60
Diabetes,Gradient Boosting,103.20436832182172,198.42092740231854,3026.0549387153724,2940.6602882456596,60
Diabetes,MLP,435.9284299033231,421.6109576662627,3026.0549387153724,2748.7499260734094,60
Linnerud-Weight,Dummy,94.82964203235915,24.78164320987654,1699.302298366274,1158.154727160495,60
Linnerud-Weight,Ridge,163.6962422050704,40.536538185027766,1699.302298366274,896.6738323910611,60
Linnerud-Weight,Decision Tree,160.5097503064781,116.7285785542643,1699.302298366274,922.0683005777589,60
Linnerud-Weight,Random Forest,131.82018637717107,66.63148696897461,1699.302298366274,975.2477715175634,60
Linnerud-Weight,Gradient Boosting,44.97415294888735,130.03727584174788,1699.302298366274,1293.6833490900117,60
Linnerud-Weight,MLP,231.7279571730664,90.85212128938053,1699.302298366274,875.288074254731,60
